pitcher,taggedpitchtype,relspeed,spinrate,inducedvertbreak,horzbreak
"Johnson, Andrew",FourSeamFastBall,89.91,2447.83,20.4593,8.6703
"Johnson, Andrew",FourSeamFastBall,90.07,2460.08,25.2437,8.9506
"Johnson, Andrew",FourSeamFastBall,89.46,2344.28,21.3314,8.5115
"Johnson, Andrew",FourSeamFastBall,89.08,2364.81,23.7225,9.0290
"Johnson, Andrew",FourSeamFastBall,89.19,2323.77,21.7009,7.7836
"Johnson, Andrew",FourSeamFastBall,91.11,2441.88,21.0582,14.1968
"Johnson, Andrew",FourSeamFastBall,91.64,2437.71,19.1856,8.6898
"Johnson, Andrew",FourSeamFastBall,88.62,2350.12,23.3625,13.8616
"Johnson, Andrew",FourSeamFastBall,88.90,2450.93,23.9018,9.4750
"Johnson, Andrew",FourSeamFastBall,87.47,2319.02,20.4173,6.3882
"Johnson, Andrew",FourSeamFastBall,89.16,2389.05,22.6143,7.3630
